Model,DPO2012,,,
Firmware Version,1.39,,,
,,,,
Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,4,,,
Sample Interval,0.00768049,,,
Filter Frequency,14,,,
Record Length,5200,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,1,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.1,,0.5,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-1.66E+01,-0.016,0.028,0.77,0.97
-1.66E+01,-0.016,-0.068,0.77,0.57
-1.66E+01,-0.016,0.028,0.77,0.97
-1.66E+01,-0.016,-0.064,0.79,0.57
-1.65E+01,-0.016,0.036,0.81,0.99
-1.65E+01,-0.016,-0.068,0.83,0.59
-1.65E+01,-0.016,0.028,0.85,1.05
-1.65E+01,-0.016,-0.064,0.89,0.65
-1.65E+01,-0.016,0.036,0.93,1.11
-1.65E+01,-0.016,-0.068,0.97,0.73
-1.65E+01,-0.016,0.028,1.03,1.21
-1.65E+01,-0.016,-0.06,1.11,0.87
-1.65E+01,-0.016,0.036,1.21,1.37
-1.65E+01,-0.016,-0.068,1.27,1.09
-1.65E+01,-0.016,0.032,1.29,1.53
-1.65E+01,-0.016,-0.06,1.25,1.05
-1.65E+01,-0.016,0.036,1.19,1.51
